"","rules","support","confidence","lift"
"131","{Type=Mortgage} => {State=CA}",0.237997432605905,0.421363636363636,1.12257959209054
"129","{Type=Mortgage} => {State=FL}",0.13382541720154,0.236931818181818,1.05378182337217
"130","{Company=Bank of America} => {State=CA}",0.105648267008986,0.439167556029883,1.17001205932722
"270","{Type=Mortgage,Company=Bank of America} => {State=CA}",0.0829268292682927,0.460441910192445,1.22669031477399
"125","{Type=Mortgage} => {State=NY}",0.0699935815147625,0.123920454545455,0.707987048704871
"108","{Type=Mortgage} => {State=GA}",0.0686456996148909,0.121534090909091,1.12910026020491
"127","{Type=Credit card} => {State=CA}",0.0637034659820282,0.323606129768503,0.862138081701998
"119","{Company=Wells Fargo & Company} => {State=CA}",0.0614249037227214,0.433718558803535,1.15549506603267
"128","{Company=Bank of America} => {State=FL}",0.0541720154043646,0.225186766275347,1.00154433872963
"122","{Type=Bank account or service} => {State=CA}",0.0504813863928113,0.315926892950392,0.841679376225565
"123","{Type=Credit card} => {State=NY}",0.0478498074454429,0.243071405282035,1.38872478705321
"112","{Company=JPMorgan Chase & Co.} => {State=CA}",0.0427792041078306,0.376341050254094,1.00263227820773
"262","{Type=Mortgage,Company=Wells Fargo & Company} => {State=CA}",0.0413350449293967,0.453361492432242,1.20782695829246
"126","{Type=Credit card} => {State=FL}",0.0404043645699615,0.205249429409847,0.912870713732633
"269","{Type=Mortgage,Company=Bank of America} => {State=FL}",0.040211810012837,0.223271560940841,0.993026240210763
"120","{Type=Bank account or service} => {State=NY}",0.0388318356867779,0.243020686884917,1.38843502077998
"121","{Type=Bank account or service} => {State=FL}",0.0348202824133505,0.217915244024905,0.96920339763289
"118","{Company=Wells Fargo & Company} => {State=FL}",0.0299422336328626,0.211420802175391,0.940318612016155
"124","{Company=Bank of America} => {State=NY}",0.0281450577663671,0.116995731056563,0.668424455394668
"115","{Type=Credit card} => {State=TX}",0.0280166880616175,0.142321486794914,1.21499658315877
"107","{Company=Bank of America} => {State=GA}",0.0269255455712452,0.11192636072572,1.03984060829262
"116","{Company=Bank of America} => {State=TX}",0.0256739409499358,0.106723585912487,0.911097790967968
"105","{Company=Citibank} => {State=CA}",0.0245827984595635,0.317710493571132,0.846431171312969
"101","{Company=Ocwen} => {State=CA}",0.0244223363286264,0.414940021810251,1.10546606357793
"224","{Type=Mortgage,Company=Ocwen} => {State=CA}",0.0243581514762516,0.415207877461707,1.10617967353854
"250","{Type=Mortgage,Company=JPMorgan Chase & Co.} => {State=CA}",0.0243260590500642,0.412180532898314,1.09811434722225
