"","rules","support","confidence","lift"
"157","{Type=Mortgage} => {State=CA}",0.108250115225073,0.377255447877068,1.1555012518149
"156","{Type=Debt collection} => {State=CA}",0.0798432939007528,0.317393428606327,0.972148993834917
"155","{Type=Mortgage} => {State=FL}",0.0767552619449992,0.267494779675537,1.19344953109059
"149","{Type=Credit reporting} => {State=TX}",0.06593946842833,0.319892673473951,1.5968873469146
"150","{Type=Debt collection} => {State=TX}",0.0592103241665386,0.235373152558935,1.17497035816098
"153","{Type=Credit reporting} => {State=CA}",0.0551544015977877,0.267570992025043,0.819547121119479
"154","{Type=Debt collection} => {State=FL}",0.0543555077584882,0.216074264077196,0.964032754046518
"148","{Type=Mortgage} => {State=NY}",0.0406206790597634,0.141564491085292,0.920246951437298
"152","{Type=Credit reporting} => {State=FL}",0.0378552773083423,0.183647611239472,0.819358627430067
"147","{Type=Debt collection} => {State=NY}",0.0338761714549086,0.134664712348846,0.875394599699028
"151","{Type=Mortgage} => {State=TX}",0.0318943001997235,0.111152754725063,0.554868686636578
"144","{Type=Bank account or service} => {State=CA}",0.0313104931633123,0.33257180156658,1.01863905529004
"140","{Type=Credit card} => {State=CA}",0.0294208019665079,0.332004160887656,1.01690042031799
"145","{Type=Mortgage} => {State=GA}",0.0294208019665079,0.10253252663704,1.07677350093658
"146","{Type=Credit reporting} => {State=NY}",0.0288216315870333,0.13982261310278,0.908923787761905
"132","{Company=Bank of America} => {State=CA}",0.0275003840835766,0.378595600676819,1.15960602550723
"122","{Company=Wells Fargo & Company} => {State=CA}",0.0263481333538178,0.407266682498219,1.24742310309205
"134","{Company=Experian} => {State=TX}",0.0247657090182824,0.327243199350386,1.63358078424086
"296","{Type=Credit reporting,Company=Experian} => {State=TX}",0.0246888923029651,0.327691680261011,1.63581957728271
"143","{Type=Bank account or service} => {State=FL}",0.0218466738362268,0.232049608355091,1.03530804084124
"136","{Company=Experian} => {State=CA}",0.0212014134275618,0.280146163215591,0.858063797642596
"298","{Type=Credit reporting,Company=Experian} => {State=CA}",0.0210477799969273,0.279363784665579,0.855667438891466
"125","{Company=Equifax} => {State=TX}",0.020832693194039,0.295811518324607,1.47667549104599
"279","{Type=Credit reporting,Company=Equifax} => {State=TX}",0.0207712398217852,0.295583734149541,1.47553840446304
"118","{Company=JPMorgan Chase & Co.} => {State=CA}",0.0200952527269934,0.357670221493027,1.09551337428738
"131","{Company=Bank of America} => {State=FL}",0.0196650791212168,0.27072758037225,1.20787293210157
"137","{Type=Credit card} => {State=NY}",0.0193424489168843,0.218273231622746,1.4188958999625
"141","{Type=Bank account or service} => {State=NY}",0.0192195421723767,0.204144908616188,1.32705403993086
"139","{Type=Credit card} => {State=FL}",0.019127362113996,0.215846047156727,0.963014545851761
"112","{Company=TransUnion Intermediate Holdings, Inc.} => {State=TX}",0.0187586418804732,0.34806157354618,1.73750500974928
"252","{Type=Credit reporting,Company=TransUnion Intermediate Holdings, Inc.} => {State=TX}",0.0187432785374097,0.348870460394624,1.74154293021597
"127","{Company=Equifax} => {State=CA}",0.0180519280995545,0.256326352530541,0.785105749668859
"281","{Type=Credit reporting,Company=Equifax} => {State=CA}",0.018036564756491,0.256668124180149,0.786152567073826
"110","{Company=Ocwen} => {State=CA}",0.0172837609463819,0.416512402813773,1.2757419556326
"121","{Company=Wells Fargo & Company} => {State=FL}",0.0168689506836688,0.260745666112562,1.16333781666096
"250","{Type=Mortgage,Company=Ocwen} => {State=CA}",0.0164541404209556,0.416893732970027,1.27690993736855
"276","{Type=Mortgage,Company=Wells Fargo & Company} => {State=CA}",0.0150099861729912,0.413807708598052,1.26745770799714
"294","{Type=Mortgage,Company=Bank of America} => {State=CA}",0.0149792594868643,0.370581527936146,1.1350596044122
"126","{Company=Equifax} => {State=FL}",0.0143800891073898,0.204188481675393,0.911003377356317
"280","{Type=Credit reporting,Company=Equifax} => {State=FL}",0.0143339990781994,0.203979011805859,0.910068810641125
"138","{Type=Credit card} => {State=TX}",0.0142264556767553,0.160540915395284,0.801411778746764
"114","{Company=TransUnion Intermediate Holdings, Inc.} => {State=CA}",0.0137194653556614,0.254561003420753,0.779698635953921
"254","{Type=Credit reporting,Company=TransUnion Intermediate Holdings, Inc.} => {State=CA}",0.0136426486403441,0.253931941664284,0.777771873461401
"142","{Type=Bank account or service} => {State=TX}",0.0133200184360117,0.141481723237598,0.706269297149724
"115","{Company=JPMorgan Chase & Co.} => {State=NY}",0.0128898448302351,0.229423024336888,1.49137567702867
"135","{Company=Experian} => {State=FL}",0.0127054847134737,0.167884693463256,0.749031098603286
"297","{Type=Credit reporting,Company=Experian} => {State=FL}",0.0126747580273468,0.168230016313214,0.750571784346225
"97","{Company=Nationstar Mortgage} => {State=CA}",0.0125211245967122,0.420319752449716,1.28740354274867
"230","{Type=Mortgage,Company=Nationstar Mortgage} => {State=CA}",0.0121216776770625,0.416139240506329,1.27459899132074
"117","{Company=JPMorgan Chase & Co.} => {State=FL}",0.0121063143339991,0.215477167076839,0.961368757627764
"292","{Type=Mortgage,Company=Bank of America} => {State=FL}",0.0121063143339991,0.299505891296085,1.33626968705615
"106","{Company=Citibank} => {State=CA}",0.0116761407282225,0.304,0.931126064655781
"133","{Company=Experian} => {State=NY}",0.0111998770932555,0.147990255785627,0.962017951571605
"295","{Type=Credit reporting,Company=Experian} => {State=NY}",0.0111691504071286,0.148246329526917,0.963682571547689
"103","{Company=Citibank} => {State=NY}",0.0100168996773698,0.2608,1.6953432537701
"109","{Company=Ocwen} => {State=FL}",0.00997080964817944,0.240281377267679,1.07203474167888
"275","{Type=Mortgage,Company=Wells Fargo & Company} => {State=FL}",0.00997080964817944,0.274883523930538,1.22641500943442
"113","{Company=TransUnion Intermediate Holdings, Inc.} => {State=FL}",0.00960208941465663,0.178164196123147,0.79489392868981
"253","{Type=Credit reporting,Company=TransUnion Intermediate Holdings, Inc.} => {State=FL}",0.00960208941465663,0.178724621103803,0.797394309935332
"249","{Type=Mortgage,Company=Ocwen} => {State=FL}",0.00946381932708557,0.239782016348774,1.06980680266925
"124","{Company=Equifax} => {State=NY}",0.00941772929789522,0.133726003490401,0.869292476499573
"278","{Type=Credit reporting,Company=Equifax} => {State=NY}",0.00940236595483177,0.133799737647573,0.869771789022325
"267","{Type=Mortgage,Company=JPMorgan Chase & Co.} => {State=CA}",0.00937163926870487,0.390275111964171,1.19537937215886
"129","{Company=Bank of America} => {State=NY}",0.00931018589645107,0.128172588832487,0.833192230810606
"102","{Type=Consumer Loan} => {State=CA}",0.00924873252419726,0.289701636188643,0.887331396146947
"130","{Company=Bank of America} => {State=TX}",0.00825011522507298,0.113578680203046,0.566978778619238
"120","{Company=Wells Fargo & Company} => {State=TX}",0.00817329850975572,0.126335787223937,0.630661583741551
"289","{Type=Bank account or service,Company=Bank of America} => {State=CA}",0.00798893839299432,0.424489795918367,1.3001760301316
"128","{Company=Bank of America} => {State=GA}",0.00791212167767706,0.108925549915398,1.14391159148003
"123","{Company=Equifax} => {State=GA}",0.00774312490397911,0.109947643979058,1.15464539312631
"277","{Type=Credit reporting,Company=Equifax} => {State=GA}",0.00772776156091566,0.109969392216878,1.15487378822146
"96","{Company=Nationstar Mortgage} => {State=FL}",0.0076509448455984,0.256833419288293,1.14588301195935
"111","{Company=TransUnion Intermediate Holdings, Inc.} => {State=NY}",0.0075587647872177,0.140250855188141,0.911707596544105
"100","{Type=Consumer Loan} => {State=TX}",0.00754340144415425,0.236284889316651,1.17952169994791
"116","{Company=JPMorgan Chase & Co.} => {State=TX}",0.00754340144415425,0.13426305715067,0.670234096935126
"229","{Type=Mortgage,Company=Nationstar Mortgage} => {State=FL}",0.0075280381010908,0.258438818565401,1.1530456302983
"251","{Type=Credit reporting,Company=TransUnion Intermediate Holdings, Inc.} => {State=NY}",0.0074973114149639,0.13954818415785,0.907139848879899
"105","{Company=Citibank} => {State=FL}",0.00729758795513904,0.19,0.847700322160532
"119","{Company=Wells Fargo & Company} => {State=NY}",0.00720540789675833,0.111374970315839,0.723998483756915
"64","{Company=U.S. Bancorp} => {State=CA}",0.00694423106467967,0.580976863753213,1.77948256842956
"101","{Type=Consumer Loan} => {State=FL}",0.00694423106467967,0.217516843118383,0.970468936772606
"273","{Type=Bank account or service,Company=Wells Fargo & Company} => {State=CA}",0.00666769088953756,0.398165137614679,1.21954584759962
"93","{Type=Student loan} => {State=CA}",0.0064065140574589,0.299784327821711,0.918213820427988
"104","{Company=Citibank} => {State=TX}",0.0063450606852051,0.1652,0.824669683257919
"265","{Type=Mortgage,Company=JPMorgan Chase & Co.} => {State=FL}",0.00603779382393609,0.251439539347409,1.12181778162471
"88","{Company=Capital One} => {State=CA}",0.00600706713780919,0.288987435328899,0.88514385984462
