"","rules","support","confidence","lift"
"83","{Type=Mortgage} => {State=CA}",0.251748251748252,0.475247524752475,1.22727577498156
"82","{Type=Credit card} => {State=CA}",0.13548951048951,0.288104089219331,0.74399791888694
"79","{Type=Credit card} => {State=FL}",0.123251748251748,0.262081784386617,1.2187868347085
"81","{Company=Bank of America} => {State=CA}",0.116258741258741,0.47841726618705,1.23546129236566
"76","{Type=Credit card} => {State=NY}",0.103146853146853,0.219330855018587,1.20631970260223
"174","{Type=Mortgage,Company=Bank of America} => {State=CA}",0.0961538461538462,0.533980582524272,1.3789475991146
"80","{Type=Mortgage} => {State=FL}",0.0917832167832168,0.173267326732673,0.805763503179586
"77","{Type=Mortgage} => {State=NY}",0.0786713286713287,0.148514851485149,0.816831683168317
"70","{Type=Credit card} => {State=TX}",0.0751748251748252,0.159851301115242,1.23560735456646
"74","{Company=JPMorgan Chase & Co.} => {State=CA}",0.0681818181818182,0.419354838709677,1.08293890628413
"71","{Type=Mortgage} => {State=TX}",0.0541958041958042,0.102310231023102,0.790830434394791
"55","{Type=Mortgage} => {State=GA}",0.0533216783216783,0.100660066006601,1.16318298496516
"63","{Company=Wells Fargo & Company} => {State=CA}",0.0524475524475524,0.476190476190476,1.22971084596367
"78","{Company=Bank of America} => {State=FL}",0.0445804195804196,0.183453237410072,0.853132128443587
"153","{Type=Mortgage,Company=Wells Fargo & Company} => {State=CA}",0.0445804195804196,0.476635514018692,1.23086010843653
"168","{Type=Mortgage,Company=JPMorgan Chase & Co.} => {State=CA}",0.0445804195804196,0.566666666666667,1.46335590669676
"75","{Company=Bank of America} => {State=NY}",0.0367132867132867,0.151079136690647,0.830935251798561
"73","{Company=JPMorgan Chase & Co.} => {State=FL}",0.034965034965035,0.21505376344086,1.00008742022904
"67","{Company=Citibank} => {State=CA}",0.0332167832167832,0.296875,0.766647855530474
"72","{Company=JPMorgan Chase & Co.} => {State=NY}",0.0288461538461538,0.17741935483871,0.975806451612903
"166","{Type=Credit card,Company=JPMorgan Chase & Co.} => {State=FL}",0.0288461538461538,0.34375,1.59857723577236
"59","{Company=Capital One} => {State=CA}",0.027972027972028,0.285714285714286,0.737826507578201
"172","{Type=Mortgage,Company=Bank of America} => {State=FL}",0.027972027972028,0.155339805825243,0.722393243349909
"66","{Company=Citibank} => {State=FL}",0.0270979020979021,0.2421875,1.12627032520325
"57","{Company=Capital One} => {State=NY}",0.0262237762237762,0.267857142857143,1.47321428571429
"65","{Company=Citibank} => {State=NY}",0.0253496503496503,0.2265625,1.24609375
"69","{Company=Bank of America} => {State=TX}",0.0253496503496503,0.10431654676259,0.806338712813533
"145","{Type=Credit card,Company=Capital One} => {State=CA}",0.0253496503496503,0.278846153846154,0.720090293453725
"58","{Company=Capital One} => {State=FL}",0.0244755244755245,0.25,1.16260162601626
"144","{Type=Credit card,Company=Capital One} => {State=FL}",0.0244755244755245,0.269230769230769,1.2520325203252
"167","{Type=Credit card,Company=JPMorgan Chase & Co.} => {State=CA}",0.0236013986013986,0.28125,0.726297968397291
"170","{Type=Mortgage,Company=Bank of America} => {State=NY}",0.0236013986013986,0.131067961165049,0.720873786407767
"68","{Company=JPMorgan Chase & Co.} => {State=TX}",0.0227272727272727,0.139784946236559,1.0804998546934
"142","{Type=Credit card,Company=Capital One} => {State=NY}",0.0227272727272727,0.25,1.375
"158","{Type=Credit card,Company=Citibank} => {State=FL}",0.0218531468531469,0.268817204301075,1.2501092752863
"160","{Type=Credit card,Company=Citibank} => {State=CA}",0.0218531468531469,0.268817204301075,0.694191606592393
"62","{Company=Wells Fargo & Company} => {State=FL}",0.020979020979021,0.19047619047619,0.885791715060008
"173","{Type=Credit card,Company=Bank of America} => {State=CA}",0.0201048951048951,0.319444444444444,0.82493102583396
