"","rules","support","confidence","lift"
"172","{Type=Mortgage} => {State=CA}",0.0973537468886015,0.376904441453567,1.14229303347313
"171","{Type=Debt collection} => {State=CA}",0.0736306370197322,0.311470588235294,0.9439811367062
"170","{Type=Mortgage} => {State=FL}",0.0646058431716101,0.250121130551817,1.13375107856116
"168","{Type=Credit reporting} => {State=CA}",0.0598083795697579,0.286199095022624,0.867390236023348
"165","{Type=Debt collection} => {State=TX}",0.0550387273511048,0.232823529411765,1.26172106033069
"169","{Type=Debt collection} => {State=FL}",0.0520490036571969,0.220176470588235,0.998017682282494
"164","{Type=Credit reporting} => {State=TX}",0.0490453742716894,0.234695235560287,1.27186424075712
"167","{Type=Credit reporting} => {State=FL}",0.0446233643430256,0.213534735161033,0.967911970352055
"163","{Type=Mortgage} => {State=NY}",0.0394782584511841,0.152839838492598,0.953598065722555
"157","{Type=Bank account or service} => {State=CA}",0.0337491135121605,0.330834242093784,1.00266701161878
"153","{Type=Credit card} => {State=CA}",0.0333597541473725,0.335383755067804,1.01645532612066
"161","{Type=Credit reporting} => {State=NY}",0.0320109020622141,0.153180729305297,0.955724951113292
"162","{Type=Debt collection} => {State=NY}",0.0313990516318329,0.132823529411765,0.828712343448571
"166","{Type=Mortgage} => {State=TX}",0.0297025572566852,0.114993270524899,0.62317340341048
"160","{Type=Mortgage} => {State=GA}",0.0271578156939635,0.10514131897712,1.00492127480085
"140","{Company=Bank of America} => {State=CA}",0.0242932432244518,0.378056697684484,1.14578520316016
"159","{Type=Debt collection} => {State=GA}",0.0242793375328522,0.102705882352941,0.98164382212215
"158","{Type=Credit reporting} => {State=GA}",0.0234867131116766,0.112390204950759,1.07420478583518
"131","{Company=Wells Fargo & Company} => {State=CA}",0.0234310903452783,0.399194503672116,1.20984804208416
"150","{Type=Credit card} => {State=NY}",0.0224298805501092,0.225499790297777,1.40693791598855
"156","{Type=Bank account or service} => {State=FL}",0.0220961439517194,0.216603053435115,0.981820068180233
"144","{Company=Experian} => {State=CA}",0.0214425764465396,0.307968843618934,0.933368318070144
"311","{Type=Credit reporting,Company=Experian} => {State=CA}",0.0213730479885417,0.307584550730438,0.932203632698837
"154","{Type=Bank account or service} => {State=NY}",0.0211783683061477,0.207606324972737,1.29529703693948
"152","{Type=Credit card} => {State=FL}",0.0196209308469957,0.197259890954844,0.894141225227589
"149","{Company=Equifax} => {State=CA}",0.019092514566212,0.261773117254528,0.79336185861113
"316","{Type=Credit reporting,Company=Equifax} => {State=CA}",0.0190368917998137,0.261809141327214,0.79347103760384
"126","{Company=JPMorgan Chase & Co.} => {State=CA}",0.0186614381266252,0.350483154870723,1.06221742735242
"136","{Company=TransUnion Intermediate Holdings, Inc.} => {State=CA}",0.0170344722094753,0.290078143499882,0.879146558222648
"294","{Type=Credit reporting,Company=TransUnion Intermediate Holdings, Inc.} => {State=CA}",0.0169649437514775,0.289511153298529,0.877428167867376
"147","{Company=Equifax} => {State=TX}",0.0169371323682783,0.232221163012393,1.2584567065343
"314","{Type=Credit reporting,Company=Equifax} => {State=TX}",0.0168536982186809,0.231784279977051,1.2560891428779
"148","{Company=Equifax} => {State=FL}",0.0168397925270813,0.230886558627264,1.04656445575559
"315","{Type=Credit reporting,Company=Equifax} => {State=FL}",0.0167980754522826,0.231019315356665,1.04716621652971
"139","{Company=Bank of America} => {State=FL}",0.0165199616202912,0.257087210560485,1.1653269822273
"142","{Company=Experian} => {State=TX}",0.0164087160874946,0.235670061913321,1.27714703559704
"309","{Type=Credit reporting,Company=Experian} => {State=TX}",0.0163530933210963,0.235341204722834,1.27536488735743
"151","{Type=Credit card} => {State=TX}",0.0159776396479079,0.160631902698169,0.870499021758357
"155","{Type=Bank account or service} => {State=TX}",0.0148651843199422,0.14571973827699,0.789686777597076
"134","{Company=TransUnion Intermediate Holdings, Inc.} => {State=TX}",0.0142811452727601,0.243192043570921,1.31791028103358
"292","{Type=Credit reporting,Company=TransUnion Intermediate Holdings, Inc.} => {State=TX}",0.014253333889561,0.243236829615567,1.31815298629573
"143","{Company=Experian} => {State=FL}",0.0140864655903661,0.202316756540843,0.917063026354972
"310","{Type=Credit reporting,Company=Experian} => {State=FL}",0.0140725598987666,0.202521512907745,0.917991147666854
"122","{Type=Consumer Loan} => {State=CA}",0.0140169371323683,0.318483412322275,0.96523506533765
"130","{Company=Wells Fargo & Company} => {State=FL}",0.0133633696271884,0.227671167969675,1.03198970704086
"123","{Company=JPMorgan Chase & Co.} => {State=NY}",0.0133355582439893,0.250457038391225,1.56265113671943
"117","{Company=Citibank} => {State=CA}",0.0130296330287987,0.338389310220296,1.02556433183885
"289","{Type=Mortgage,Company=Wells Fargo & Company} => {State=CA}",0.0128488590380043,0.390862944162437,1.18459739141745
"135","{Company=TransUnion Intermediate Holdings, Inc.} => {State=FL}",0.0118615549344347,0.201989107269713,0.915577855095298
"293","{Type=Credit reporting,Company=TransUnion Intermediate Holdings, Inc.} => {State=FL}",0.0118476492428351,0.20218319886094,0.916457635025954
"109","{Company=Nationstar Mortgage} => {State=CA}",0.0116946866352398,0.437792816241541,1.32682884332341
"307","{Type=Mortgage,Company=Bank of America} => {State=CA}",0.0116946866352398,0.386844526218951,1.17241867894401
"113","{Company=Ocwen} => {State=CA}",0.0115556297192441,0.385078776645042,1.16706718075164
"250","{Type=Mortgage,Company=Nationstar Mortgage} => {State=CA}",0.0114026671116488,0.438268305718867,1.3282699203119
"141","{Company=Experian} => {State=NY}",0.0113470443452505,0.162971839424805,1.01681362906091
