"","rules","support","confidence","lift"
"139","{Type=Mortgage} => {State=CA}",0.192224898228863,0.402220933862552,1.11588245008852
"138","{Type=Mortgage} => {State=FL}",0.118011892836591,0.246933951745975,1.08961667280818
"137","{Company=Bank of America} => {State=CA}",0.0683518404058057,0.414555325749741,1.15010178150734
"135","{Type=Mortgage} => {State=NY}",0.0601675227519768,0.125897515943451,0.796948940980946
"116","{Type=Mortgage} => {State=GA}",0.0592936763358128,0.124069036257414,1.19237917086473
"266","{Type=Mortgage,Company=Bank of America} => {State=CA}",0.0530914981137705,0.422920203735144,1.17330848149534
"133","{Type=Mortgage} => {State=TX}",0.0482107461795861,0.100878562190608,0.66851995189564
"120","{Company=Wells Fargo & Company} => {State=CA}",0.0462286067477994,0.418241419205553,1.16032811895136
"132","{Type=Credit reporting} => {State=CA}",0.0445235405699184,0.313381338133813,0.86941455794113
"136","{Company=Bank of America} => {State=FL}",0.0395575353268399,0.239917269906929,1.05865497853505
"129","{Type=Credit reporting} => {State=TX}",0.0384918689656642,0.270927092709271,1.79542772073818
"124","{Type=Credit card} => {State=CA}",0.0382787356934291,0.337975159954836,0.937645253661363
"128","{Type=Bank account or service} => {State=CA}",0.0380869157484175,0.329158224350709,0.913184409195301
"113","{Type=Debt collection} => {State=CA}",0.032247064089175,0.322876653862569,0.895757433927264
"109","{Company=JPMorgan Chase & Co.} => {State=CA}",0.0319273641808223,0.39545934530095,1.09712375958936
"256","{Type=Mortgage,Company=Wells Fargo & Company} => {State=CA}",0.031501097636352,0.424225028702641,1.17692846036537
"265","{Type=Mortgage,Company=Bank of America} => {State=FL}",0.030712504529082,0.2446519524618,1.07954716049611
"131","{Type=Credit reporting} => {State=FL}",0.0278778320083548,0.196219621962196,0.865835459686287
"127","{Type=Bank account or service} => {State=FL}",0.0266629723566146,0.230429176643949,1.01678797507359
"119","{Company=Wells Fargo & Company} => {State=FL}",0.02651377906605,0.239876590821442,1.058475478675
"122","{Type=Credit card} => {State=NY}",0.0260448858671327,0.229958599924727,1.45567020370592
"123","{Type=Credit card} => {State=FL}",0.024020119780899,0.212081294693263,0.935826414531479
"126","{Type=Bank account or service} => {State=NY}",0.0238709264903344,0.206299502670842,1.30590479840977
"115","{Company=Bank of America} => {State=GA}",0.022400306911912,0.135858324715615,1.3056814291954
"110","{Type=Debt collection} => {State=TX}",0.0219953536946653,0.220230473751601,1.459462372592
"130","{Type=Credit reporting} => {State=NY}",0.0207165540612545,0.145814581458146,0.923026760312297
"112","{Type=Debt collection} => {State=FL}",0.0200771542445491,0.201024327784891,0.887036625161225
"245","{Type=Mortgage,Company=JPMorgan Chase & Co.} => {State=CA}",0.0195016944095143,0.414777878513146,1.15071921014418
"97","{Company=Ocwen} => {State=CA}",0.0192459344828321,0.402945113788487,1.11789154410135
"218","{Type=Mortgage,Company=Ocwen} => {State=CA}",0.0188836079200324,0.402544298046343,1.11677956007784
"255","{Type=Mortgage,Company=Wells Fargo & Company} => {State=FL}",0.0184147147211151,0.247990815154994,1.09428017081324
"134","{Company=Bank of America} => {State=NY}",0.0181163281399859,0.109875904860393,0.695529894784778
"105","{Company=Citibank} => {State=CA}",0.0180097615038684,0.326759474091261,0.906529550903965
"249","{Type=Mortgage,Company=Bank of America} => {State=GA}",0.0179884481766449,0.143293718166384,1.37714009886288
"121","{Type=Credit card} => {State=TX}",0.0172424817238219,0.152239367707941,1.00888684936284
"101","{Company=Experian} => {State=CA}",0.0170506617788103,0.317334391114637,0.880381521801541
"222","{Type=Credit reporting,Company=Experian} => {State=CA}",0.0169440951426927,0.316859306496612,0.879063493467038
"107","{Company=JPMorgan Chase & Co.} => {State=NY}",0.0162833819987638,0.20168954593453,1.27672312543203
"108","{Company=JPMorgan Chase & Co.} => {State=FL}",0.0159636820904111,0.197729672650475,0.872498684387064
"111","{Type=Debt collection} => {State=NY}",0.0157292354909525,0.157490396927017,0.996936310499014
"125","{Type=Bank account or service} => {State=TX}",0.0155800422003879,0.13464726468963,0.892304380222138
"98","{Company=Experian} => {State=TX}",0.0147701357658944,0.274890916303054,1.82169589011624
"219","{Type=Credit reporting,Company=Experian} => {State=TX}",0.0147061957842239,0.275009964129135,1.82248481736933
"92","{Company=Equifax} => {State=CA}",0.0141520492764125,0.306555863342567,0.850478627730008
"213","{Type=Credit reporting,Company=Equifax} => {State=CA}",0.014088109294742,0.306728538283063,0.850957680209497
"84","{Company=Nationstar Mortgage} => {State=CA}",0.0137257827319423,0.441095890410959,1.22373333030935
"103","{Company=Citibank} => {State=NY}",0.0134700228052601,0.244392884764114,1.54704125205714
"205","{Type=Mortgage,Company=Nationstar Mortgage} => {State=CA}",0.0134700228052601,0.441032798325192,1.22355829379255
"117","{Company=Wells Fargo & Company} => {State=TX}",0.0133421428419191,0.120709602776707,0.799939809700606
"114","{Company=Wells Fargo & Company} => {State=GA}",0.0125535497346491,0.113575009641342,1.09152516947196
"118","{Company=Wells Fargo & Company} => {State=NY}",0.0118928365907202,0.107597377554956,0.681106497234345
"89","{Company=Equifax} => {State=TX}",0.0116583899912615,0.252539242843952,1.67357185522534
"210","{Type=Credit reporting,Company=Equifax} => {State=TX}",0.0115731366823675,0.251972157772622,1.66981379527311
"96","{Company=Ocwen} => {State=FL}",0.0113386900829088,0.237394020526551,1.04752093003717
"104","{Company=Citibank} => {State=FL}",0.0111468701378972,0.202242846094354,0.89241343890727
"217","{Type=Mortgage,Company=Ocwen} => {State=FL}",0.0110189901745562,0.234893230349841,1.03648598465007
"88","{Company=TransUnion Intermediate Holdings, Inc.} => {State=CA}",0.0107845435750975,0.306110102843315,0.8492419533648
"209","{Type=Credit reporting,Company=TransUnion Intermediate Holdings, Inc.} => {State=CA}",0.0107845435750975,0.306295399515738,0.849756022343835
"106","{Company=JPMorgan Chase & Co.} => {State=TX}",0.0105287836484154,0.130411826821542,0.864236229186429
"85","{Company=TransUnion Intermediate Holdings, Inc.} => {State=TX}",0.0105074703211918,0.298245614035088,1.97646694419665
"206","{Type=Credit reporting,Company=TransUnion Intermediate Holdings, Inc.} => {State=TX}",0.0105074703211918,0.298426150121065,1.97766335275851
"244","{Type=Mortgage,Company=JPMorgan Chase & Co.} => {State=FL}",0.0105074703211918,0.223481414324569,0.986130393933459
"91","{Company=Equifax} => {State=FL}",0.00995332381338051,0.215604801477378,0.951374182311397
"212","{Type=Credit reporting,Company=Equifax} => {State=FL}",0.00988938383170997,0.215313225058005,0.950087577024031
"100","{Company=Experian} => {State=FL}",0.00969756388669835,0.18048393494645,0.796400427325541
